figure_id,source_url,licence,domain,eth_category,diagram_type,expert_reference_description,short_alt,context_paragraph,image_path,split
mathcs_linked_complexity_chart,https://commons.wikimedia.org/wiki/File:Comparison_computational_complexity.svg,CC-BY-SA-4.0,mathematics_cs,linked,Graphs,"Asymptotic complexity comparison: O(1), O(log n), O(n), O(n log n), O(n^2), O(2^n) plotted as number-of-operations vs input size.","Complexity comparison — linked to algorithm catalogue","Linked to the algorithm catalogue in Chapter 10.",data/corpus/images/mathcs_linked_complexity_chart.png,held_out
mathcs_linked_graph_theory,https://commons.wikimedia.org/wiki/File:6n-graf.svg,Public-Domain,mathematics_cs,linked,"Relational Diagrams","Undirected graph with six vertices and seven edges, vertices numbered 1 to 6.","Sample undirected graph — click for adjacency","Linked to the adjacency matrix entry in the appendix.",data/corpus/images/mathcs_linked_graph_theory.png,held_out
mathcs_decorative_chalkboard,https://commons.wikimedia.org/wiki/File:Chalkboard.jpg,CC-BY-SA-3.0,mathematics_cs,decorative,Photos,"Decorative chalkboard photograph at chapter opening.","","Chapter cover photograph.",data/corpus/images/mathcs_decorative_chalkboard.png,held_out
mathcs_complex_loss_landscape,local://code/scripts/render_local_figures.py,CC-BY-4.0,mathematics_cs,complex,Graphs,"Three-dimensional loss landscape for a small neural network, two horizontal axes parameter values, vertical axis loss.","Two-parameter loss landscape, neural network","The figure underpins Section 8's discussion of saddle points. Rendered locally from a two-parameter analytic stand-in (quadratic plus two Gaussian wells) by code/scripts/render_local_figures.py; released under CC-BY-4.0.",data/corpus/images/mathcs_complex_loss_landscape.png,held_out
mathcs_complex_finite_automaton,https://commons.wikimedia.org/wiki/File:DFAexample.svg,Public-Domain,mathematics_cs,complex,"Relational Diagrams","Deterministic finite automaton example diagram with multiple states and labelled transitions.","DFA state diagram","The DFA is the running example for Section 9 on regular languages.",data/corpus/images/mathcs_complex_finite_automaton.png,held_out
mathcs_complex_dynamic_programming,local://code/scripts/render_local_figures.py,CC-BY-4.0,mathematics_cs,complex,Tables,"Dynamic programming table for the longest common subsequence problem.","LCS dynamic programming table","The table is the worked example throughout Section 10. Rendered locally for X='AGCAT' and Y='GAC' with one optimal traceback overlay by code/scripts/render_local_figures.py; released under CC-BY-4.0.",data/corpus/images/mathcs_complex_dynamic_programming.png,held_out
bio_simple_cell_diagram,https://commons.wikimedia.org/wiki/File:Animal_cell_structure_en.svg,Public-Domain,biology,simple,"Illustrated Diagrams","Animal cell schematic with nucleus, mitochondria, endoplasmic reticulum, Golgi apparatus labelled.","Animal cell schematic","Introductory figure for the eukaryotic cell.",data/corpus/images/bio_simple_cell_diagram.png,held_out
bio_linked_taxonomy,https://commons.wikimedia.org/wiki/File:Phylogenetic_tree.svg,Public-Domain,biology,linked,"Relational Diagrams","Three-domain phylogenetic tree showing Bacteria, Archaea, and Eukaryotes based on rRNA data (Woese 1990).","Three-domain phylogenetic tree — linked","Linked to species lookup in the appendix.",data/corpus/images/bio_linked_taxonomy.png,held_out
bio_linked_protein_db,https://commons.wikimedia.org/wiki/File:1GZX_Haemoglobin.png,CC-BY-SA-3.0,biology,linked,"Art/Photos/Cartoons","Ribbon diagram of haemoglobin rendered from PDB entry 1GZX.","Haemoglobin ribbon (PDB 1GZX)","Linked to the PDB entry for the discussed haemoglobin variant.",data/corpus/images/bio_linked_protein_db.png,held_out
bio_decorative_microscope,https://commons.wikimedia.org/wiki/File:Optical_microscope_nikon_alphaphot.jpg,Public-Domain,biology,decorative,Photos,"Decorative photograph of a Nikon Alphaphot optical microscope.","","Chapter cover photograph.",data/corpus/images/bio_decorative_microscope.png,held_out
bio_complex_genetic_pedigree,https://commons.wikimedia.org/wiki/File:Autosomal_recessive_-_en.svg,CC-BY-SA-3.0,biology,complex,"Relational Diagrams","Three-generation pedigree chart showing autosomal recessive inheritance, with carriers and affected individuals indicated.","Three-generation pedigree, autosomal recessive","The pedigree drives the worked example of inheritance probability.",data/corpus/images/bio_complex_genetic_pedigree.png,held_out
bio_complex_signalling_pathway,https://commons.wikimedia.org/wiki/File:Insulin_glucose_metabolism.jpg,CC-BY-SA-3.0,biology,complex,"Relational Diagrams","Insulin signalling: effect of insulin on glucose uptake and metabolism via the insulin receptor.","Insulin signalling pathway","The pathway is referenced across Section 12.",data/corpus/images/bio_complex_signalling_pathway.png,held_out
bio_complex_population_curve,https://commons.wikimedia.org/wiki/File:Logistic-curve.svg,Public-Domain,biology,complex,Graphs,"Logistic population growth curve, x axis time, y axis population size, with inflection point and carrying capacity K marked.","Logistic population growth curve","Section 13 uses the curve to discuss carrying capacity.",data/corpus/images/bio_complex_population_curve.png,held_out
phys_simple_pendulum,https://commons.wikimedia.org/wiki/File:Simple_gravity_pendulum.svg,Public-Domain,physics,simple,"Illustrated Diagrams","Simple pendulum schematic with pivot, massless rod of length L, bob of mass m.","Simple pendulum schematic","Section 2 introduces SHM with the simple pendulum.",data/corpus/images/phys_simple_pendulum.png,held_out
phys_linked_solar_system,https://commons.wikimedia.org/wiki/File:Solar_sys.jpg,Public-Domain,physics,linked,Maps,"Not-to-scale rendering of the Sun, the eight planets, the asteroid belt, the Kuiper belt and a comet.","Solar system — not to scale","Linked to NASA orbital elements appendix.",data/corpus/images/phys_linked_solar_system.png,held_out
phys_linked_circuit_lab,https://commons.wikimedia.org/wiki/File:RLC_series_circuit_v1.svg,CC-BY-SA-3.0,physics,linked,"Illustrated Diagrams","Schematic of a series RLC circuit with resistor, inductor, capacitor, and an AC source.","Series RLC circuit — linked","Linked to lab bench photograph.",data/corpus/images/phys_linked_circuit_lab.png,held_out
phys_decorative_telescope,https://commons.wikimedia.org/wiki/File:Telescope.jpg,CC-BY-SA-3.0,physics,decorative,Photos,"Decorative photograph of the Nice Observatory 50 cm refractor telescope.","","Chapter cover photograph.",data/corpus/images/phys_decorative_telescope.png,held_out
phys_complex_phase_space,https://commons.wikimedia.org/wiki/File:Damped_spring.gif,Public-Domain,physics,complex,Graphs,"Animation of a damped spring oscillation; amplitude decays exponentially toward equilibrium.","Damped spring oscillation (animation)","Section 6 introduces phase-space portraits via the damped oscillator; the animation provides the time-domain reference.",data/corpus/images/phys_complex_phase_space.gif,held_out
phys_complex_feynman_diagram,https://commons.wikimedia.org/wiki/File:Feynman_EP_Annihilation.svg,Public-Domain,physics,complex,"Relational Diagrams","Tree-level Feynman diagram for electron-positron annihilation into a photon pair.","Electron-positron annihilation Feynman diagram","Section 14 discusses the cross-section calculation.",data/corpus/images/phys_complex_feynman_diagram.png,held_out
phys_complex_velocity_time,https://commons.wikimedia.org/wiki/File:Velocity_vs_time_graph.svg,CC-BY-SA-3.0,physics,complex,Graphs,"Velocity, displacement, and acceleration plotted against time; piecewise-linear velocity segments.","Velocity, displacement, and acceleration vs. time","Reuses the canonical kinematics example pattern referenced in the ETH staffnet complex illustrations page.",data/corpus/images/phys_complex_velocity_time.png,held_out
